"treeID","stemID","tag","StemTag","sp","quadrat","gx","gy","MeasureID","CensusID","dbh","pom","hom","ExactDate","DFstatus","codes","nostems","status","date"
10430,10430,"C1-22089",NA,"MEMEPU","C1",43.8,11.2,23508,5,13,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10431,10431,"C1-22093",NA,"STROCE","C1",43,8,23524,5,36,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10432,10432,"C1-22095",NA,"PALAKI","C1",40.1,11.6,23532,5,137,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10433,10433,"C1-22096",NA,"LITSAC","C1",44.7,17.9,23540,5,22,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10434,10434,"C1-22097",NA,"PALAOB","C1",43.5,18,23548,5,14,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10435,10435,"C1-22098",NA,"STREEL","C1",40,19,23556,5,15,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10436,10436,"C1-22099",NA,"BEILMA","C1",51.8,16.5,23564,5,20,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10437,10437,"C1-22187",NA,"POPOTO","C1",52,12.8,23572,5,30,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10438,10438,"C1-22189",NA,"POPOTO","C1",44,5.8,23580,5,63,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10439,10439,"C1-22190",NA,"CRY2RU","C1",51.6,0,23588,5,25,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10440,10440,"C1-22194",NA,"SANTAP","C1",41,4.8,23596,5,NA,"0",0,2003-03-25,"broken below","B",1,"A",15789
10441,10441,"C1-22195",NA,"CANAPA","C1",51,0.4,23604,5,40,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10442,10442,"C1-22196",NA,"GIROPA","C1",55.2,3.5,23612,5,92,"1.3",1.3,2003-03-24,"alive","L",1,"A",15788
10443,10443,"C1-22197",NA,"STREEL","C1",57.2,0.3,23620,5,46,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
10444,10444,"C1-22198",NA,"STROCE","C1",59,2.3,23628,5,58,"1.3",1.3,2003-03-24,"alive",NA,1,"A",15788
